ftnt_action, action
pass, allowed
passthrough, allowed
log-only, allowed
blocked, blocked
block, blocked
monitored, deferred
analytics, deferred
detected, blocked
dropped, blocked
allowed, allowed
accept, allowed
close, teardown
deny, blocked
dns, allowed
timeout, teardown
ip-conn, allowed
allow, allowed
server-rst, blocked
client-rst, teardown
clear_session, blocked
